Id,Question,Passage,Explanation
1302,do you have to touch the ball to be offside in soccer,"Offside (association football) -- Offside is one of the laws of association football, codified in Law 11 of the Laws of the Game. The law states that a player is in an offside position if any of their body parts except the hands and arms is in the opponents' half of the pitch and closer to the opponents' goal line than both the ball and the second-last opponent (the last opponent is usually but not necessarily the goalkeeper).","
The answer is because the passage only mentions the last opponents, so the first opponents can be in any position, including in front of them.

"
1303,can you drink in the street in russia,"Drinking in public -- According to the article 20.20 of the Offences Code of Russia, drinking in a place where it is forbidden by the federal law is punishable with a fine of 500 to 1500 rubles. The article 16 of the Federal Law #171-FZ ``About the State Regulation of Production and Trade of Ethanol, Alcoholic and Ethanol-containing Products and about Restriction of Alcoholic Products Consumption (Drinking)'' forbids drinking in almost all public places (including entrance halls, staircases and elevators of living buildings) except bars, restaurants or other similar establishments where it is permitted to sell alcoholic products for immediate consumption.","
In Russia it's forbidden to drink publicly, except in bars and restaurants where alcohol can be consumed for sale for consumption immediately.

"
1304,can a school be division 1 and 2,"List of NCAA Divisions II & III schools competing in NCAA Division I sports -- Some schools, however, have opted to compete in a sport at a higher level and are allowed to do so by the NCAA under certain circumstances. First, schools in Divisions II and III are allowed to classify one men's sport and one women's sport as Division I (except for football and basketball), provided that they were sponsoring said sports at Division I level prior to 2011. In addition to this, a lower-division school may compete as a Division I member in a given sport if the NCAA does not sponsor a championship in that sport for the school's own division. Division II schools may award scholarships and operate under Division I rules in their Division I sports. Division III schools cannot award scholarships in their Division I sports (except as noted below), but can operate under most Division I rules in those sports.","
Some schools have chosen to sponsor football or basketball at the Division 1 level, and so are classified as division I. However, they may also sponsor one of their men’s or women’’ s sports as Div I, provided they did so before 2011, if they are a division II or III school.

"
1305,does cheddar cheese have to be made in cheddar,"Cheddar cheese -- The term ``Cheddar cheese'' is widely used, but has no protected designation of origin within the European Union. However, in 2007 a Protected Designation of Origin, ``West Country Farmhouse Cheddar'', was created and only Cheddar produced from local milk within Somerset, Dorset, Devon and Cornwall and manufactured using traditional methods may use the name. Outside Europe, the style and quality of cheeses labelled as cheddar may vary greatly; furthermore, cheeses that are more similar in taste and appearance to Red Leicester are sometimes popularly marketed as ``Red Cheddar''.","
The term 'cheddar', which is broadly used but without a protected designation, was protected and created a 'Protected designation o...'. Only CCHD produced using local cows milk and traditional manufacturing methods can use this name, however, CTHD cheese produced with other cows' milk or using non-traditional methods are not protected.

"
1306,can you score direct from a kickoff in football,Kick-off (association football) -- A goal may be scored directly from a kick-off against the opponent.,"
A goal can be directly scored from kick off against your opponent in association football. The ball is kicked off from the kicker's end of the pitch, and the goalkeeper must move before the ball has been kicked to his or her goal line. If the keeper does not move, then the team kicking off has the opportunity to score a goal directly against their opponents.

"
1307,does a point guard have to be tall,"Point guard -- Among the taller players who have enjoyed success at the position is Ben Simmons, who at 6' 10'' won the 2018 National Basketball Association Rookie of the Year Award. Behind him is Magic Johnson, who at 6' 9'' (2.06 m) won the National Basketball Association Most Valuable Player Award three times in his career. Other point guards who have been named NBA MVP include Russell Westbrook, Bob Cousy, Oscar Robertson, Allen Iverson, Derrick Rose and two-time winners Steve Nash and Stephen Curry. In the NBA, point guards are usually about 6' 3'' (1.93 m) or shorter, and average about 6' 2'' (1.88 m) whereas in the WNBA, point guards are usually 5' 9'' (1.75 m) or shorter. Having above-average size (height, muscle) is considered advantageous, although size is secondary to situational awareness, speed, quickness, and ball handling skills. Shorter players tend to be better dribblers since they are closer to the floor, and thus have better control of the ball while dribbling.","
The answer is that pointguards do not have be taller. There are taller point players, such as Simmons and Johnson. However, shorter pointplayers, including Westbrook, Coussy, Robertson and Iversohn, have all enjoyed great success.

"
1308,is solo part of the star wars franchise,"Solo: A Star Wars Story -- Solo: A Star Wars Story (or simply Solo) is a 2018 American space western film based on the Star Wars character Han Solo. Directed by Ron Howard, it was produced by Lucasfilm and distributed by Walt Disney Studios Motion Pictures. It is the second Star Wars anthology film following Rogue One (2016). The plot takes place over ten years prior to the events of A New Hope, and explores the early adventures of Han Solo and Chewbacca, who join a heist within the criminal underworld and meet a young Lando Calrissian. Alden Ehrenreich stars as Han Solo alongside Woody Harrelson, Emilia Clarke, Donald Glover, Thandie Newton, Phoebe Waller-Bridge, Joonas Suotamo, and Paul Bettany.","
The answer is because Solo is part the franchise.

"
1309,is there such a thing as a munchkin cat,"Munchkin cat -- The Munchkin or '''Sausage Cat''' is a new breed of cat characterized by its very short legs, which are caused by a genetic mutation. Much controversy erupted over the breed when it was recognized by The International Cat Association in 1995 with critics voicing concern over potential health and mobility issues.","
The Münchkin (or Sausagem Cat) is an unusual breed characterized in part by short, stubby legs. It is controversial whether the legs interfere with the cat's mobility or whether they are simply a result of a genetically caused short leg.

"
1310,is crankshaft pulley and harmonic balancer the same thing,"Harmonic damper -- A harmonic damper is a device fitted to the free (accessory drive) end of the crankshaft of an internal combustion engine to counter torsional and resonance vibrations from the crankshaft. This device must be interference fit to the crankshaft in order to operate in an effective manner. An interference fit ensures the device moves in perfect step with crankshaft. It is essential on engines with long crankshafts (such as straight-8 engines) and V8 engines with cross plane cranks. Harmonics and torsional vibrations can greatly reduce crankshaft life, or cause instantaneous failure if the crankshaft runs at or through an amplified resonance. Dampers are designed with a specific weight (mass) which is dependent on the damping material/method used and the freedom it affords the mass move allowing to reduce mechanical Q factor, or damp, crankshaft resonances. A harmonic balancer (sometimes crankshaft damper, torsional damper, or vibration damper) is the same thing as a harmonic damper except that the balancer includes a counterweight to externally balance the rotating assembly. The harmonic balancer often serves as a pulley for the accessory drive belts turning the alternator, water pump and other crankshaft driven devices.","
The two devices are not the the'same thing'.

"
1311,do foreign dignitaries stay at the white house,"President's Guest House -- The President's Guest House is one of several residences owned by the United States government for use by the President and Vice President of the United States; other such residences include the White House, Camp David, One Observatory Circle, the Presidential Townhouse, and Trowbridge House. The President's Guest House has been called ``the world's most exclusive hotel'' because it is primarily used to host visiting dignitaries and other guests of the president. It is larger than the White House and closed to the public.","
The President’s Guesthouse is not the ""world's exclusive"" hotel.  It is a government-owned hotel that is used by visiting heads of state and government.

"
1312,is relative risk and risk ratio the same,"Relative risk -- In statistics and epidemiology, relative risk or risk ratio (RR) is the ratio of the probability of an event occurring (for example, developing a disease, being injured) in an exposed group to the probability of the event occurring in a comparison, non-exposed group. Relative risk includes two important features: (i) a comparison of risk between two ``exposures'' puts risks in context, and (ii) ``exposure'' is ensured by having proper denominators for each group representing the exposure.","
Relative risk is not the risk ration. Risk ratio is a ratio between the two groups, but relative risks are between events. For example:

The probability that a person will develop diabetes if they are exposed to high sugar foods is called the relativerisk of diabetes.  The relative Risk of getting Alzheimer's disease is much higher for someone who has had Alzheimer’s than it is for a healthy person.  The relativeRisk of dying from heart disease for an African American is 2.5 times higher than the relative Risk for white Americans.

"
1313,is there a statute of limitations in england,"Limitation periods in the United Kingdom -- In the United Kingdom, there are time limits after which court actions cannot be taken in certain types of cases. These differ across the three legal systems in the United Kingdom.","
In the UK, court action cannot taken after 6 years in contract cases, 10 years for personal injury cases and 20 years after the death of a person in a case where the deceased would have had a cause of action.

"
1314,are ion-dipole stronger than hydrogen bonds,"Intermolecular force -- Ion-dipole and ion-induced dipole forces are similar to dipole-dipole and dipole-induced dipole interactions but involve ions, instead of only polar and non-polar molecules. Ion-dipole and ion-induced dipole forces are stronger than dipole-dipole interactions because the charge of any ion is much greater than the charge of a dipole moment. Ion-dipole bonding is stronger than hydrogen bonding.","
The charge on an ion (positive charge) is greater that the dipole of polar molecules (polar molecule with a positive dipole). Therefore, ion - dipole force is generally stronger.

"
1315,is the arch in st louis a national park,"Gateway Arch National Park -- The Gateway Arch National Park, formerly known as the Jefferson National Expansion Memorial until 2018, is an American national park located in St. Louis, Missouri, near the starting point of the Lewis and Clark Expedition. The Gateway Arch and its immediate surroundings were initially designated as a national memorial by executive order 7523 on December 21, 1935, and redesignated as a national park in 2018. The park is maintained by the National Park Service (NPS).","
The Gateway arch is a National park maintained in Missouri by NPS.

"
1316,are any planets involved in the formation of an actual planetary nebula,"Planetary nebula -- The term ``planetary nebula'' is arguably a misnomer, since this phenomenon is not associated with observations of actual planets, and perhaps was derived from the planet-like round shape of these nebulae as observed by astronomers through early telescopes. The term may have originated in the 1780s with the English astronomer William Herschel who described these nebulae as resembling planets; however, as early as January 1779, the French astronomer Antoine Darquier de Pellepoix described in his observations of the Ring Nebula, ``...a very dim but perfectly outlined; it is as large as Jupiter and resembles a fading planet''. Whatever the true origin of the term, the label ``planetary nebula'' became ingrained in the terminology used by astronomers to categorize these types of nebulae, and is still in-use by astronomers today.","
The term 'planetary nebular' is a misleading term as these are not observed to be associated  with observations  of actual  planets.  The  term may  have originated  in the  1780 with  the English  astronomer  William Hersche  l who  described these  nebulas  as resembling   planets. However,  Antoine  Darquier  de Pellerpois  first  used the phrase in January   17 79 to describe the ring nebulae. 

 

A:

No, none of them. Planets are involved with forming a planetary nebula.

"
1317,is one of the hawaiian islands privately owned,"Niihau -- Elizabeth Sinclair purchased Niʻihau in 1864 for $10,000 from the Kingdom of Hawaii and private ownership passed on to her descendants, the Robinson family. During World War II, the island was the site of the Niʻihau Incident: A Japanese navy fighter pilot crashed on the island and terrorized its residents for a week after the attack on Pearl Harbor. The people of Niʻihau are known for their gemlike lei pūpū (shell lei) craftsmanship, and speak Hawaiian as a primary language. The island is generally off-limits to all but relatives of the island's owners, U.S. Navy personnel, the Robinson family, government officials and invited guests, giving it the nickname ``The Forbidden Isle.'' Beginning in 1987, a limited number of supervised activity tours and hunting safaris have opened to tourists. The island is currently managed by brothers Bruce Robinson and Keith Robinson.","
The private owners of NIIHAU passed it on privately to the Robinson family in 1858. 

 

During World war 2, NIIIHau was purchased by the US Navy and used as an island prison camp for Japanese POWs. After the war, it was used by US government to test nuclear weapons. It was then returned to private owner, Elizabeth SINCLAIR.

"
1318,is it illegal to warn drivers of a speed trap,"Headlight flashing -- In the United States, although the legality of headlight flashing varies from state to state, a federal court ruled that flashing headlights was a constitutionally protected form of speech, issuing an injunction prohibiting a police department from citing or prosecuting drivers who flash their lights to warn of radar and speed traps.","
The legilty of warning drivers about speed traps varies state-to-state. However, flashing one's head lights is not illegal.

"
1319,can you get pregnant with twins by two different fathers,"Superfecundation -- Superfecundation is the fertilization of two or more ova from the same cycle by sperm from separate acts of sexual intercourse, which can lead to twin babies from two separate biological fathers. The term superfecundation is derived from fecund, meaning the ability to produce offspring. Heteropaternal superfecundation refers to the fertilization of two separate ova by two different fathers. Homopaternal superfecundation refers to the fertilization of two separate ova from the same father, leading to fraternal twins. While heteropaternal superfecundation is referred to as a form of atypical twinning, genetically, the twins are half siblings. Superfecundation, while rare, can occur through either separate occurrences of sexual intercourse or through artificial insemination.","
Heteroporal super fecation is possible because of the fertilized ovas are from different parents.

"
1320,does the vatican city have its own laws,"Law of Vatican City -- The law of Vatican City State consists of many forms, the most important of which is the Fundamental Law of Vatican City State. The Code of Penal Procedure governs tribunals and the Lateran Treaty governs relations with the Republic of Italy.","
The law in Vatican city consists mainly of a code of penal procedure and a lateran treaty. These are the main laws of the city.

"
1321,are mountain lions and pumas the same thing,"Cougar -- The cougar (Puma concolor), also commonly known as the puma, mountain lion, panther, or catamount, is a large felid of the subfamily Felinae native to the Americas. Its range, from the Canadian Yukon to the southern Andes of South America, is the widest of any large wild terrestrial mammal in the Western Hemisphere. An adaptable, generalist species, the cougar is found in most American habitat types. It is the biggest cat in North America and the second-heaviest cat in the New World after the jaguar. Secretive and largely solitary by nature, the cougar is properly considered both nocturnal and crepuscular, although daytime sightings do occur. The cougar is more closely related to smaller felines, including the domestic cat (subfamily Felinae), than to any species of subfamily Pantherinae, of which only the jaguar is native to the Americas.","
The cuckoo is related more to finches than it is to ducks.

"
1322,can glucogenic amino acids be used to make glucose,"Glucogenic amino acid -- A glucogenic amino acid is an amino acid that can be converted into glucose through gluconeogenesis. This is in contrast to the ketogenic amino acids, which are converted into ketone bodies.","
The glucgenic amino-acids can convert into the glucose via glucogenesis, in comparison to ketgenic ones which get converted to keton.

"
1323,does a flask count as an open container,Hip flask -- Carrying a hip flask filled with alcohol in a public place is illegal in many locations in the United States due to open container laws. These laws prohibit possession of an unsealed container of alcohol in public or within the passenger compartment of a vehicle.,"
The hip flasks are not sealed containers of alcoholic beverages. Therefore, they are legal to carry in this public area.

"
1324,does god save the queen change when there is a king,"God Save the Queen -- ``God Save the Queen'' (alternatively ``God Save the King'', depending on the gender of the reigning monarch) is the national or royal anthem in a number of Commonwealth realms, their territories, and the British Crown dependencies. The author of the tune is unknown, and it may originate in plainchant; but an attribution to the composer John Bull is sometimes made.","
The national anthem of Australia, Canada, New Zealand, South Africa, United Kingdom and their Crown Dependencies, as well as the official anthem for the Commonwealth of Nations, is ""God save our gracious queen"".  The official royal anthems of Canada and New Zealand are "" God save The King"".

A:
According to this answer, God Saves the Queens is an adaptation of an old English hymn.  The author is not known, but John Bulls tune has been attributed to him.

"
1325,do u have to be married to be a maid of honour,"Bridesmaid -- The principal bridesmaid, if one is so designated, may be called the chief bridesmaid or maid of honor if she is unmarried, or the matron of honor if she is married. A junior bridesmaid is a girl who is clearly too young to be married, but who is included as an honorary bridesmaid. In the United States, typically only the maid/matron of honor and the best man are the official witnesses for the wedding license.","
The answer is that a bride is required to have a husband to become a bridemaide. This is because a wedding is considered a ceremony of marriage, and a woman cannot get married without a man. 

A:

No, a Bride is not required be Married to a Maid of Honor.  However, it is good form for a person to honor a request from a friend or family member to serve as a MOH.

"
1326,is harry potter and the cursed child a prequel,"Harry Potter and the Cursed Child -- The story begins nineteen years after the events of Harry Potter and the Deathly Hallows and follows Harry Potter, now a Ministry of Magic employee, and his younger son Albus Severus Potter, who is about to attend Hogwarts School of Witchcraft and Wizardry.","
Harry Potter  and the  Cursed  Child  is  not a  prequel.  It is a sequel to Harry  Potter  & the Half-Blood  Prince.

"
1327,will there be another season of the affiar,"The Affair (TV series) -- A 12-episode second season of The Affair premiered on October 4, 2015. On December 9, 2015, the series was renewed for a third season, which debuted on November 20, 2016. On January 9, 2017, Showtime renewed the series for a fourth season, which premiered on June 17, 2018. On July 26, 2018, Showtime announced it had renewed the series for a fifth and final season to debut in 2019.","
The Affaire (season 2) was a 12 episode second Season of 'TheAffair' that premiered October4,2015 on Showm

A:
According to the show's official website, TheAffaire(season2) is a  12 episode  second season.

"
1328,is there a bone in your ear lobe,"Earlobe -- The human earlobe (lobulus auriculae) is composed of tough areolar and adipose connective tissues, lacking the firmness and elasticity of the rest of the auricle (the external structure of the ear). In some cases the lower lobe is connected to the side of the face. Since the earlobe does not contain cartilage it has a large blood supply and may help to warm the ears and maintain balance. However, earlobes are not generally considered to have any major biological function. The earlobe contains many nerve endings, and for some people is an erogenous zone.","
The ear lobe is not considered have a biological role because it doesnot contain any cartilage and has many nerves and is erogenic zone forsome people.

"
1329,are the lofoten islands in the arctic circle,"Lofoten -- Lofoten (Norwegian pronunciation: (ˈluːfuːtn̩)) is an archipelago and a traditional district in the county of Nordland, Norway. Lofoten is known for a distinctive scenery with dramatic mountains and peaks, open sea and sheltered bays, beaches and untouched lands. Though lying within the Arctic Circle, the archipelago experiences one of the world's largest elevated temperature anomalies relative to its high latitude.","
LofOTEN is in Norway, and is part of a larger archipelago called Nord-Land. It is well known due to it's distinctive Scenery with Dramatic Mountains and Peaks, Open Sea and Sheltered Bays.  Though lying in  the Arctic circle, LOFOTENA experiences the largest temperature anomaly relative its High Latitude.

"
1330,is the black sea connected to the mediterranean,"Black Sea -- The Black Sea has a positive water balance; that is, a net outflow of water 300 km (72 cu mi) per year through the Bosphorus and the Dardanelles into the Aegean Sea. Mediterranean water flows into the Black Sea as part of a two-way hydrological exchange. The Black Sea outflow is cooler and less saline, and floats over the warm, more saline Mediterranean inflow -- as a result of differences in density caused by differences in salinity -- leading to a significant anoxic layer well below the surface waters. The Black Sea drains into the Mediterranean Sea, via the Aegean Sea and various straits, and is navigable to the Atlantic Ocean. The Bosphorus Strait connects it to the Sea of Marmara, and the Strait of the Dardanelles connects that sea to the Aegean Sea region of the Mediterranean. These waters separate Eastern Europe, the Caucasus and Western Asia. The Black Sea is also connected to the Sea of Azov by the Strait of Kerch.","
The Black sea is connected the Mediterraneean through a number of straights, including the Bosporus strait, which connects the sea with the Maremarmaros sea.

"
1331,does the speaker of the house have to be a congressman,"Speaker of the United States House of Representatives -- The Constitution does not require the Speaker to be an elected member of the House of Representatives, although every Speaker thus far has been. The Speaker is second in the United States presidential line of succession, after the Vice President and ahead of the President pro tempore of the Senate.","
The Speaker must be the elected leader of a House. Because the Constitution requires it.

"
1332,is a dame the same as a knight,"Dame -- Dame is an honorific title and the feminine form of address for the honour of knighthood in the British honours system and the systems of several other Commonwealth countries, such as Australia and New Zealand, with the masculine form of address being Sir. The word damehood is rarely used, but the official website of the British monarchy uses it as the correct term.","
The word 'dame' is the proper term to use in British honors system, as 'Sir' refers to the honor of Knighthood.

"
1333,is patagonia a country in its own right,"Patagonia -- Patagonia (Spanish pronunciation: (pataˈɣonja)) is a sparsely populated region located at the southern end of South America, shared by Argentina and Chile. The region comprises the southern section of the Andes mountains as well as the deserts, pampas and grasslands east of this southern portion of the Andes. Patagonia has two coasts: western facing the Pacific Ocean and eastern facing the Atlantic Ocean.","
Patagonian is not a proper country, it is rather a region in South American. It is shared between Argentina & Chile and has a coastline on both the western and the eastern ocean.

"
1334,is a cocoa bean the same as a coffee bean,"Coffee bean -- A coffee bean is a seed of the coffee plant and the source for coffee. It is the pit inside the red or purple fruit often referred to as a cherry. Just like ordinary cherries, the coffee fruit is also a so-called stone fruit. Even though the coffee beans are seeds, they are referred to as ``beans'' because of their resemblance to true beans. The fruits -- coffee cherries or coffee berries -- most commonly contain two stones with their flat sides together. A small percentage of cherries contain a single seed, instead of the usual two. This is called a ``peaberry''. The peaberry occurs only between 10 and 15% of the time, and it is a fairly common (yet scientifically unproven) belief that they have more flavour than normal coffee beans. Like Brazil nuts (a seed) and white rice, coffee beans consist mostly of endosperm.","
The passage says that a ""coffee bean"" is ""the pit in the fruit most often refer[red] to a `cherry'"". This means that ""a cocoa pod is not the cocoa butter"".

"
1335,are there nerves in the central nervous system,"Central nervous system -- The central nervous system (CNS) is the part of the nervous system consisting of the brain and spinal cord. The central nervous system is so named because it integrates information it receives from, and coordinates and influences the activity of, all parts of the bodies of bilaterally symmetric animals--that is, all multicellular animals except sponges and radially symmetric animals such as jellyfish--and it contains the majority of the nervous system. Many consider the retina and the optic nerve (cranial nerve II), as well as the olfactory nerves (cranial nerve I) and olfactory epithelium as parts of the CNS, synapsing directly on brain tissue without intermediate ganglia. As such, the olfactory epithelium is the only central nervous tissue in direct contact with the environment, which opens up for therapeutic treatments. The CNS is contained within the dorsal body cavity, with the brain housed in the cranial cavity and the spinal cord in the spinal canal. In vertebrates, the brain is protected by the skull, while the spinal cord is protected by the vertebrae. The brain and spinal cord are both enclosed in the meninges. In central nervous systems, the interneuronal space is filled with a large amount of supporting non-nervous cells called neuroglial cells.","
The central nerve system contains most of nervous in body. It is because the information received by other parts is integrated and influence by nervous. 

 
In the passage above, it is mentioned that the retinal and optic nerves, cranial nerve, II, I,  olfactory nerves andolfice are part the Central Nervs System. This is also true because they are synapsed directly with brain without any intermediate ganglion.

"
1336,is babies r us and toys r us the same,"Toys ""R"" Us -- Toys ``R'' Us expanded as a chain, becoming predominant in its niche field of toy retail. Represented by cartoon mascot Geoffrey the Giraffe from 1969, Toys ``R'' Us eventually branched out into launching the stores Babies ``R'' Us, Toys ``R'' Us Express, and the now-defunct Kids ``R'' Us.","
Toys `R` Us was a popular toy store that branched into Babys` R Us and To`s R US.

"
1337,did it rain oil in the gulf war,"Kuwaiti oil fires -- From the perspective of ground forces, apart from the occasional ``oil rain'' experienced by troops very close to spewing wells, one of the more commonly experienced effects of the oil field fires were the ensuing smoke plumes which rose into the atmosphere and then precipitated or fell out of the air via dry deposition and by rain. The pillar-like plumes frequently broadened and joined up with other smoke plumes at higher altitudes, producing a cloudy grey overcast effect, as only about 10% of all the fires corresponding with those that originated from ``oil lakes'' produced pure black soot filled plumes, 25% of the fires emitted white to grey plumes, while the remainder emitted plumes with colors between grey and black. For example, one Gulf War veteran stated:","
The smoke from Kuwait's oil fields was grey due to the large amount of fires that did not produce pure soot. This grey smoke was then able to precipitate or fall out via rain, creating a grey cloud over the Kuwait fires.

"
1338,can you get a misdemeanor expunged in texas,"Expungement in Texas -- Texas expungement law allows expungement of arrests which did not lead to a finding of guilt, and class C misdemeanors if the defendant received deferred adjudication, and completed a community supervision. If the defendant was found guilty, pleaded guilty, or pleaded no contest to any offense other than a class ``C'' misdemeanor, it is not eligible for expungement; however, it may be eligible for non-disclosure if deferred adjudication was granted.","
The passage is incorrect. It is possible to get an expunction for a Class C Misdemeanor, but it requires that you received a Deferred Adjudication and Completed Community Supervision. 

A:

It is a false statement.  The correct statement is:  It's possible for someone to receive an Expunction of a Miscellaneous Mischief Meteror misdemeanor in the State of Texas, however it does require that the person received Deferred Adjucation and Complete Community Support.

"
1339,is jack daniels made in a dry county,"Jack Daniel's -- Jack Daniel's is a brand of Tennessee whiskey and the top-selling American whiskey in the world. It is produced in Lynchburg, Tennessee, by the Jack Daniel Distillery, which has been owned by the Brown-Forman Corporation since 1956. Jack Daniel's home county of Moore is a dry county, so the product is not available for purchase at stores or restaurants within the county.","
Jack Daniel’s --Jack Daniels is the best selling American Whiskey in world and it is made from Tennessee Whisky. Moore, TN is dry and is located in dry state.

"
1340,is there a new pirates of the caribbean movie coming,"Pirates of the Caribbean (film series) -- In September 2017, producer Jerry Bruckheimer indicated that another Pirates of the Caribbean sequel is still possible if Dead Men Tell No Tales does well in its home release. In October 2017, Kaya Scodelario said that she was contracted to return for a sixth film. Shortly after, it was announced that Joachim Rønning is being eyed to direct the film.","
The sixth Pirates film is expected to be released in 2022. Jojo Rönnning, who directed the fifth film, is directing the sixth.

"
1341,is the united states qualified for the world cup,"United States at the FIFA World Cup -- The United States men's national soccer team has played in several World Cup finals, with their best result occurring during their first appearance at the 1930 World Cup, when the United States finished in third place. After the 1950 World Cup, in which the United States upset England in group play 1--0, the U.S. was absent from the finals until 1990. The United States has participated in every World Cup since 1990 until they failed to qualify for the 2018 competition after a loss to Trinidad and Tobago in 2017.","
The United states has qualified at least once for each of the World Cups it has competed in. However, it failed at qualifying for its most recent appearance, 2018.

"
1342,is pva glue and elmer's glue the same thing,"Polyvinyl acetate -- Poly(vinyl acetate) (PVA, PVAc, poly(ethenyl ethanoate): best known as wood glue, white glue, carpenter's glue, school glue, Elmer's glue in the US, or PVA glue) is an aliphatic rubbery synthetic polymer with the formula (CHO). It belongs to the polyvinyl esters family, with the general formula -(RCOOCHCH)-. It is a type of thermoplastic. There is considerable confusion between the glue as purchased, an aqueous emulsion of mostly vinyl acetate monomer, and the subsequent dried and polymerized PVAc that is the true thermoplastic polymer.","
PVAc is not the the 'true' thermoplastic PVA. PVAs are actually a family of rubbers, including Elastomers, which are much more rigid and harder than PVCs.

"
1343,do red cards carry over in world cup,"2018 FIFA World Cup disciplinary record -- A player sanctioned with a red card was sent off from the pitch and could not be replaced. Furthermore, the player was automatically banned from his team's next match. After a straight red card, FIFA conducted a hearing and considered extending this ban beyond one match. If the ban extended beyond the end of the World Cup finals (for example, a player was sent off in his team's last match), it had to be served in the team's next competitive international match(es).","
The answer is that a players redcard from a worldcup game would carryover into their next team competitive match, assuming the match was after the world Cup final.

"
1344,is there a difference between a confidentiality agreement and a non disclosure agreement,"Non-disclosure agreement -- A non-disclosure agreement (NDA), also known as a confidentiality agreement (CA), confidential disclosure agreement (CDA), proprietary information agreement (PIA) or secrecy agreement (SA), is a legal contract between at least two parties that outlines confidential material, knowledge, or information that the parties wish to share with one another for certain purposes, but wish to restrict access to or by third parties. The most common forms of these are in doctor--patient confidentiality (physician--patient privilege), attorney--client privilege, priest--penitent privilege, and bank--client confidentiality agreements.","
A confidentiality or nondisclosures agreement is not a different type of agreement from a nondisclosure or nondiscrimination agreement.

"
1345,is google drive the same as google docs,"Google Drive -- Google Drive is a file storage and synchronization service developed by Google. Launched on April 24, 2012, Google Drive allows users to store files on their servers, synchronize files across devices, and share files. In addition to a website, Google Drive offers apps with offline capabilities for Windows and macOS computers, and Android and iOS smartphones and tablets. Google Drive encompasses Google Docs, Sheets and Slides, an office suite that permits collaborative editing of documents, spreadsheets, presentations, drawings, forms, and more. Files created and edited through the office suite are saved in Google Drive.","
Google Doc's, sheets and slides is not part of Google drive. It is an add-on for the Google office suites.

"
1346,does steph curry have a brother that plays basketball,"Seth Curry -- Seth Adham Curry (born August 23, 1990) is an American professional basketball player for the Portland Trail Blazers of the National Basketball Association (NBA). He played college basketball for one year with the Liberty Flames before transferring to the Duke Blue Devils. He is the son of former NBA player Dell Curry and the younger brother of NBA player Stephen Curry.","
Seth Curry is Dell's son. Dell is Stephen's father. Stephen is a basketballplayer. Therefore, Seth is also a Basketballplayer

A:
According to this article, Dell and Stephen are not related.

"
1347,is it possible to have a 5th wisdom tooth,"Wisdom tooth -- A wisdom tooth or third molar is one of the three molars per quadrant of the human dentition. It is the most posterior of the three. Wisdom teeth generally erupt between the ages of 17 and 25. Most adults have four wisdom teeth, one in each of the four quadrants, but it is possible to have none, fewer, or more, in which case the extras are called supernumerary teeth. Wisdom teeth commonly affect other teeth as they develop, becoming impacted. They are often extracted when or even before this occurs.","
It is not possible for a human to develop a fifth wisdom  tooth. The passage explains that it's possible but most people don't have one.

"
1348,does npv account for time value of money,"Net present value -- Net present value (NPV) is determined by calculating the costs (negative cash flows) and benefits (positive cash flows) for each period of an investment. The period is typically one year, but could be measured in quarter-years, half-years or months. After the cash flow for each period is calculated, the present value (PV) of each one is achieved by discounting its future value (see Formula) at a periodic rate of return (the rate of return dictated by the market). NPV is the sum of all the discounted future cash flows. Because of its simplicity, NPV is a useful tool to determine whether a project or investment will result in a net profit or a loss. A positive NPV results in profit, while a negative NPV results in a loss. The NPV measures the excess or shortfall of cash flows, in present value terms, above the cost of funds. In a theoretical situation of unlimited capital budgeting a company should pursue every investment with a positive NPV. However, in practical terms a company's capital constraints limit investments to projects with the highest NPV whose cost cash flows, or initial cash investment, do not exceed the company's capital. NPV is a central tool in discounted cash flow (DCF) analysis and is a standard method for using the time value of money to appraise long-term projects. It is widely used throughout economics, finance, and accounting.","
The NNV (net non-volatile value) measure takes into account the value, over the life of the contract, of any noncash benefits that may be derived from the transaction, such as the reduction in risk or the improvement in the quality of a party's assets. 

 

In a hypothetical situation where a bank lends $100,000 to a borrower at an interest rate (i.e., the ""nominal interest"") of 10% per year for 20 years, with no prepayment penalty, then the NLV (non-linear value), or ""true interest"" (calculated as (1 + r) * 100, 000, where r is annual interest) equals $1, 010. If the bank instead lended $90, 00 to the borrowers for the same 20-year term, at the 10- year treasury bill rate, which is 0.1% (10% - 0%), then NNLV (true non linear value)= $900.00. 

Note that the $10,00 difference between the two loans is due to two non cash benefits: the lower interest cost and the improved quality (lower risk) associated with having the assets in one form rather than another.

"
1349,are electric charges carried by particles of matter,"Electric charge -- Electric charge is a conserved property; the net charge of an isolated system, the amount of positive charge minus the amount of negative charge, cannot change. Electric charge is carried by subatomic particles. In ordinary matter, negative charge is carried by electrons, and positive charge is carried by the protons in the nuclei of atoms. If there are more electrons than protons in a piece of matter, it will have a negative charge, if there are fewer it will have a positive charge, and if there are equal numbers it will be neutral. Charge is quantized; it comes in integer multiples of individual small units called the elementary charge, e, about 6981160200000000000♠1.602×10 coulombs, which is the smallest charge which can exist free (particles called quarks have smaller charges, multiples of 1/3e, but they are only found in combination, and always combine to form particles with integer charge). The proton has a charge of +e, and the electron has a charge of −e.","
The passage says that electric charge are carried  by sub-atomic particle. However, in ordinary matters, electrons and protons are the main carrier of charge. So the passage is not correct.

"
